"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60100";"78000-60100";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"100";"0";"0";"";"Holzbau-Shop";"";"20,41";"6,12";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60120";"78000-60120";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"120";"0";"0";"";"Holzbau-Shop";"";"21,48";"6,44";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60130";"78000-60130";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"130";"0";"0";"";"Holzbau-Shop";"";"27,60";"8,28";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60140";"78000-60140";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"140";"0";"0";"";"Holzbau-Shop";"";"30,07";"9,02";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60160";"78000-60160";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"160";"0";"0";"";"Holzbau-Shop";"";"36,75";"11,03";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60180";"78000-60180";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"180";"0";"0";"";"Holzbau-Shop";"";"52,86";"15,86";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-60200";"78000-60200";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"200";"0";"0";"";"Holzbau-Shop";"";"61,76";"18,53";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-6060";"78000-6060";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"60";"0";"0";"";"Holzbau-Shop";"";"15,48";"4,64";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-6070";"78000-6070";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"70";"0";"0";"";"Holzbau-Shop";"";"17,49";"5,25";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-6080";"78000-6080";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"80";"0";"0";"";"Holzbau-Shop";"";"18,16";"5,45";"70,0"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprüft";"78000-6090";"78000-6090";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"6";"90";"0";"0";"";"Holzbau-Shop";"";"20,14";"6,04";"70,0"
"Holzbauschrauben Senkkopf 8mm Torx, verzinkt, ETA geprüft";"79000-80100";"79000-80100";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"8";"100";"0";"0";"";"Holzbau-Shop";"";"34,73";"10,42";"70,0"
"Holzbauschrauben Senkkopf 8mm Torx, verzinkt, ETA geprüft";"79000-80120";"79000-80120";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"8";"120";"0";"0";"";"Holzbau-Shop";"";"40,42";"12,13";"70,0"
"Holzbauschrauben Senkkopf 8mm Torx, verzinkt, ETA geprüft";"79000-80140";"79000-80140";"Befestigungsmittel";"Holzbauschrauben Senkkopf";"100 Stk";"8";"140";"0";"0";"";"Holzbau-Shop";"";"53,78";"16,13";"70,0"
