sku;species;group;subgroup;name;quality;thickness;width;length;unit;supplier;purchasePrice;priceUnit;listed;note
2124124;Fichte;Kantholz;Kantholz Rauh;Schnittholz;I/IV;24;120;4000;Stk;Holztreff;465,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
2124184;Fichte;Kantholz;Kantholz Rauh;Schnittholz;I/IV;24;180;4000;Stk;Holztreff;465,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
213154;Fichte;Kantholz;Kantholz Rauh;Schnittholz;I/IV;30;150;4000;Stk;Holztreff;465,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
2324124;Fichte;Kantholz;Kantholz Rauh;Schnittholz;III/IV;24;120;4000;Stk;Holztreff;315,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
233154;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/IV 30;;150;4,0;2000;Stk;Holztreff;315,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
234154;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/IV 40;;150;4,0;2000;Stk;Holztreff;315,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
235164;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/IV 50;;160;4,0;2000;Stk;Holztreff;315,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
51144;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/V 24;;170+;4,0;2000;Stk;Holztreff;270,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
51143;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/V 24;;170+;5,0;2000;Stk;Holztreff;270,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
51145;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/V 24 80 -;;160;3,0;2000;Stk;Holztreff;270,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
51147;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/V 24 80 -;;160;4,0;2000;Stk;Holztreff;270,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
51146;Fichte;Kantholz;Kantholz Rauh;Schnittholz III/V 24 80 -;;160;5,0;2000;Stk;Holztreff;270,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Schnittholz sägerau
21353;Fichte;Kantholz;Latten;Latten;I/IV;30;50;3000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
21354;Fichte;Kantholz;Latten;Latten;I/IV;30;50;4000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
21355;Fichte;Kantholz;Latten;Latten;I/IV;30;50;5000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
21453;Fichte;Kantholz;Latten;Latten;I/IV;40;50;3000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
21454;Fichte;Kantholz;Latten;Latten;I/IV;40;50;4000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
21455;Fichte;Kantholz;Latten;Latten;I/IV;40;50;5000;Stk;Holztreff;380,00;EUR;false;Hintergrundartikel aus EK_Preise_01_2026_TS-SH_HO_PL_.pdf. Fichte Latten/Staffel sägerau
