Name;Artikelnummer;QR-/Barcode;Kategorie;Einheit;Bestand;Mindestbestand;Lagerort;Lieferant;Notiz
"Terrassenschrauben 4-5mm T-Kopf, Torx, Edelstahl gehaertet, CE (4,0 x 40 mm)";"70111-4040";"70111-4040";"Befestigungsmittel";"Stk";"400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Terrassenschrauben 4-5mm T-Kopf, Torx, Edelstahl gehaertet, CE (4,0 x 50 mm)";"70111-4050";"70111-4050";"Befestigungsmittel";"Stk";"3000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Terrassenschrauben 4-5mm T-Kopf, Torx, Edelstahl gehaertet, CE (5,0 x 60 mm)";"70111-5060";"70111-5060";"Befestigungsmittel";"Stk";"2400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Terrassenschrauben 4-5mm T-Kopf, Torx, Edelstahl gehaertet, CE (5,0 x 80 mm)";"70111-5080";"70111-5080";"Befestigungsmittel";"Stk";"4800";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbau Spanplattenschrauben 4-5mm Torx, verzinkt, ETA geprueft (4,0 x 40 mm)";"71000-4040";"71000-4040";"Befestigungsmittel";"Stk";"2000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbau Spanplattenschrauben 4-5mm Torx, verzinkt, ETA geprueft (5,0 x 60 mm)";"71000-5060";"71000-5060";"Befestigungsmittel";"Stk";"1000";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbau Spanplattenschrauben 4-5mm Torx, verzinkt, ETA geprueft (5,0 x 80 mm)";"71000-5080";"71000-5080";"Befestigungsmittel";"Stk";"2400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 70 mm)";"78000-6070";"78000-6070";"Befestigungsmittel";"Stk";"600";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 100 mm)";"78000-60100";"78000-60100";"Befestigungsmittel";"Stk";"3200";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 120 mm)";"78000-60120";"78000-60120";"Befestigungsmittel";"Stk";"3600";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 140 mm)";"78000-60140";"78000-60140";"Befestigungsmittel";"Stk";"2400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Tellerkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 120 mm)";"77000-60120";"77000-60120";"Befestigungsmittel";"Stk";"1200";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Tellerkopf 6mm Torx, verzinkt, ETA geprueft (6,0 x 140 mm)";"77000-60140";"77000-60140";"Befestigungsmittel";"Stk";"1600";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 8mm Torx, verzinkt, ETA geprueft (8,0 x 200 mm)";"79000-80200";"79000-80200";"Befestigungsmittel";"Stk";"400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Senkkopf 8mm Torx, verzinkt, ETA geprueft (8,0 x 240 mm)";"79000-80240";"79000-80240";"Befestigungsmittel";"Stk";"300";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Tellerkopf 8mm Torx, verzinkt, ETA geprueft (8,0 x 200 mm)";"76000-80200";"76000-80200";"Befestigungsmittel";"Stk";"700";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Tellerkopf 8mm Torx, verzinkt, ETA geprueft (8,0 x 220 mm)";"76000-80220";"76000-80220";"Befestigungsmittel";"Stk";"400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Holzbauschrauben Tellerkopf 8mm Torx, verzinkt, ETA geprueft (8,0 x 260 mm)";"76000-80260";"76000-80260";"Befestigungsmittel";"Stk";"1400";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Vollgewindeschrauben Zylinderkopf (8,0 x 280 mm)";"72000-80280";"72000-80280";"Befestigungsmittel";"Stk";"300";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Vollgewindeschrauben Zylinderkopf (8,0 x 360 mm)";"72000-80360";"72000-80360";"Befestigungsmittel";"Stk";"300";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
"Vollgewindeschrauben Zylinderkopf (8,0 x 400 mm)";"72000-80400";"72000-80400";"Befestigungsmittel";"Stk";"50";"0";"";"WITEC";"Aus Rechnungsbildern uebernommen"
